year,income,Subregion,financial hardship
2021,Lower-middle,Southern Africa,
2021,Lower-middle,Western Africa,31.790000000000003
2021,Upper-middle,Eastern Africa,
2021,Upper-middle,Central Africa,
2021,Upper-middle,Northern Africa,
2021,Upper-middle,Southern Africa,
2022,Low,Eastern Africa,
2022,Low,Central Africa,
2022,Low,Northern Africa,
2022,Low,Southern Africa,
2022,Low,Western Africa,40.07
2022,Lower-middle,Eastern Africa,
2022,Lower-middle,Central Africa,38.84
2022,Lower-middle,Northern Africa,
2022,Lower-middle,Southern Africa,
2022,Lower-middle,Western Africa,47.35
2022,Upper-middle,Eastern Africa,
2022,Upper-middle,Central Africa,
2022,Upper-middle,Northern Africa,
2022,Upper-middle,Southern Africa,
2023,Low,Eastern Africa,
2023,Low,Central Africa,
2023,Low,Northern Africa,
2023,Low,Southern Africa,
2023,Low,Western Africa,
2023,Lower-middle,Eastern Africa,
2023,Lower-middle,Central Africa,
2023,Lower-middle,Northern Africa,
2023,Lower-middle,Southern Africa,
2023,Lower-middle,Western Africa,
2023,Upper-middle,Eastern Africa,
2023,Upper-middle,Central Africa,
2023,Upper-middle,Northern Africa,
2023,Upper-middle,Southern Africa,12.62
