year,income,Subregion,gini_oop
2017,Lower-middle,Central Africa,0.3059575435120139
2017,Lower-middle,Northern Africa,0.06752226692013696
2017,Lower-middle,Southern Africa,0.2572408757331863
2017,Lower-middle,Western Africa,0.20038568772729914
2017,Upper-middle,Central Africa,0.2372801250135157
2017,Upper-middle,Northern Africa,0.0011489143154841397
2017,Upper-middle,Southern Africa,0.5278039765582756
2018,High,Eastern Africa,0.0
2018,Low,Eastern Africa,0.1811749183856557
2018,Low,Central Africa,0.10704202746008318
2018,Low,Northern Africa,0.0
2018,Low,Southern Africa,0.07852187278617984
2018,Low,Western Africa,0.1907207385603391
2018,Lower-middle,Eastern Africa,0.2582874507711599
2018,Lower-middle,Central Africa,0.2720174020496158
2018,Lower-middle,Northern Africa,0.09785779577917131
2018,Lower-middle,Southern Africa,0.2963929651755548
2018,Lower-middle,Western Africa,0.18785693508620738
2018,Upper-middle,Central Africa,0.2520293846775514
2018,Upper-middle,Northern Africa,0.044535859575587367
2018,Upper-middle,Southern Africa,0.4850245192563434
2019,High,Eastern Africa,0.0
2019,Low,Eastern Africa,0.1626744023063218
2019,Low,Central Africa,0.01265536528932687
2019,Low,Northern Africa,0.0
2019,Low,Southern Africa,0.04971583758674569
2019,Low,Western Africa,0.19561594197122645
2019,Lower-middle,Eastern Africa,0.22753614275892597
2019,Lower-middle,Central Africa,0.28015058122847214
2019,Lower-middle,Northern Africa,0.11531144372777002
2019,Lower-middle,Southern Africa,0.32553685762418194
2019,Lower-middle,Western Africa,0.19108479967347503
2019,Upper-middle,Central Africa,0.261638881671997
2019,Upper-middle,Northern Africa,0.07511319519392679
2019,Upper-middle,Southern Africa,0.49960170405235593
2020,High,Eastern Africa,0.0
2020,Low,Eastern Africa,0.20490537874551795
2020,Low,Central Africa,0.0840852317954146
2020,Low,Northern Africa,0.0
2020,Low,Southern Africa,0.048234844158921764
2020,Low,Western Africa,0.14374772116438383
2020,Lower-middle,Eastern Africa,0.20281558193067184
2020,Lower-middle,Central Africa,0.3674384119675522
2020,Lower-middle,Northern Africa,0.12662317174708249
2020,Lower-middle,Southern Africa,0.25050790725988836
2020,Lower-middle,Western Africa,0.22387054155557373
2020,Upper-middle,Central Africa,0.2759871535435774
2020,Upper-middle,Northern Africa,0.15219228876557467
2020,Upper-middle,Southern Africa,0.4700087981560346
2021,High,Eastern Africa,0.0
2021,Low,Eastern Africa,0.2009600758516492
2021,Low,Central Africa,0.08359781897644769
2021,Low,Northern Africa,0.0
2021,Low,Southern Africa,0.04981872390754649
2021,Low,Western Africa,0.14267998541413052
2021,Lower-middle,Eastern Africa,0.19200524370900718
2021,Lower-middle,Central Africa,0.37141569590270684
2021,Lower-middle,Northern Africa,0.08161738123898288
2021,Lower-middle,Southern Africa,0.25984228236800555
2021,Lower-middle,Western Africa,0.22365827151680406
2021,Upper-middle,Central Africa,0.2505651904473143
2021,Upper-middle,Northern Africa,0.12413166673810272
2021,Upper-middle,Southern Africa,0.46576183708176133
2022,High,Eastern Africa,0.0
2022,Low,Eastern Africa,0.2093125591117868
2022,Low,Central Africa,0.049753044115046
2022,Low,Northern Africa,0.0
2022,Low,Southern Africa,0.04744939344614174
2022,Low,Western Africa,0.1342621152403567
2022,Lower-middle,Eastern Africa,0.11958996938599964
2022,Lower-middle,Central Africa,0.31877700419510346
2022,Lower-middle,Northern Africa,0.07761633061631668
2022,Lower-middle,Southern Africa,0.2626338467109728
2022,Lower-middle,Western Africa,0.22021709472030415
2022,Upper-middle,Central Africa,0.2883113322340034
2022,Upper-middle,Northern Africa,0.11149516759703948
2022,Upper-middle,Southern Africa,0.4774623181174451
2023,High,Eastern Africa,0.0
2023,Low,Eastern Africa,0.21453952845147173
2023,Low,Central Africa,0.034415502029828016
2023,Low,Northern Africa,0.0
2023,Low,Southern Africa,0.03647620186890288
2023,Low,Western Africa,0.10626054196467005
2023,Lower-middle,Eastern Africa,0.17784149264774807
2023,Lower-middle,Central Africa,0.30272983357042893
2023,Lower-middle,Northern Africa,0.09317518806675529
2023,Lower-middle,Southern Africa,0.24242890032608377
2023,Lower-middle,Western Africa,0.19815685286434626
2023,Upper-middle,Central Africa,0.2925458119700952
2023,Upper-middle,Northern Africa,0.20120047627412863
2023,Upper-middle,Southern Africa,0.48578877505537044
