year,income,Subregion,min_budget_priority,max_budget_priority,range_budget_priority
2020,Low,Southern Africa,6.873320099999999,7.0641245800000005,0.1908044800000015
2020,Low,Western Africa,3.7481868299999994,11.647500040000002,7.8993132100000025
2020,Lower-middle,Eastern Africa,4.15930223,8.91046047,4.7511582400000005
2020,Lower-middle,Central Africa,3.65950561,12.803995129999999,9.144489519999999
2020,Lower-middle,Northern Africa,5.1611223200000005,12.48706436,7.325942039999999
2020,Lower-middle,Southern Africa,4.7405839,10.560054779999998,5.819470879999998
2020,Lower-middle,Western Africa,2.6806235299999996,13.44707775,10.76645422
2020,Upper-middle,Central Africa,6.39538145,9.591558459999998,3.1961770099999978
2020,Upper-middle,Northern Africa,8.83030605,9.743197440000001,0.9128913900000004
2020,Upper-middle,Southern Africa,8.99296188,16.88567543,7.89271355
2021,High,Eastern Africa,9.58416653,9.58416653,0.0
2021,Low,Eastern Africa,2.10620522,8.35194492,6.2457397
2021,Low,Central Africa,5.64191198,6.42073488,0.7788229000000007
2021,Low,Northern Africa,7.861412049999998,7.861412049999998,0.0
2021,Low,Southern Africa,5.756381029999998,7.11263514,1.3562541100000018
2021,Low,Western Africa,2.5608844799999995,9.83841515,7.27753067
2021,Lower-middle,Eastern Africa,3.31527162,9.28240871,5.9671370900000005
2021,Lower-middle,Central Africa,2.86292386,13.14262199,10.27969813
2021,Lower-middle,Northern Africa,6.799449439999999,12.38628578,5.5868363400000005
2021,Lower-middle,Southern Africa,4.7405839,12.30096912,7.56038522
2021,Lower-middle,Western Africa,1.6808979499999999,14.889709469999996,13.208811519999996
2021,Upper-middle,Central Africa,8.997376440000002,9.591558459999998,0.5941820199999963
2021,Upper-middle,Northern Africa,6.911469940000001,8.828529360000001,1.9170594200000002
2021,Upper-middle,Southern Africa,10.8982172,16.88567543,5.98745823
2022,High,Eastern Africa,9.58416653,9.58416653,0.0
2022,Low,Eastern Africa,2.10620522,8.202532770000001,6.096327550000002
2022,Low,Central Africa,7.2637333900000005,8.47619724,1.212463849999999
2022,Low,Northern Africa,4.6226062799999985,4.6226062799999985,0.0
2022,Low,Southern Africa,3.28711009,6.95726824,3.6701581500000002
2022,Low,Western Africa,2.5608844799999995,8.39684868,5.8359642
2022,Lower-middle,Eastern Africa,4.73731661,8.65115547,3.913838860000001
2022,Lower-middle,Central Africa,3.52587986,8.344574929999999,4.818695069999999
2022,Lower-middle,Northern Africa,5.943278789999999,10.83969498,4.896416190000002
2022,Lower-middle,Southern Africa,4.7405839,12.883148190000004,8.142564290000003
2022,Lower-middle,Western Africa,2.55340433,16.06422043,13.5108161
2022,Upper-middle,Central Africa,5.86133051,9.591558459999998,3.730227949999998
2022,Upper-middle,Northern Africa,5.06271315,5.251564029999999,0.1888508799999986
2022,Upper-middle,Southern Africa,8.609209059999998,16.88567543,8.276466370000001
2023,High,Eastern Africa,9.58416653,9.58416653,0.0
2023,Low,Eastern Africa,2.13586187,8.923098559999998,6.7872366899999985
2023,Low,Central Africa,7.2637333900000005,8.47619724,1.212463849999999
2023,Low,Northern Africa,7.146174429999999,7.146174429999999,0.0
2023,Low,Southern Africa,3.28711009,6.76256466,3.4754545699999997
2023,Low,Western Africa,2.5608844799999995,8.77536201,6.214477530000001
2023,Lower-middle,Eastern Africa,4.73731661,8.65115547,3.913838860000001
2023,Lower-middle,Central Africa,3.91280055,8.7735281,4.86072755
2023,Lower-middle,Northern Africa,5.943278789999999,12.100215910000001,6.156937120000002
2023,Lower-middle,Southern Africa,4.7405839,11.83322239,7.09263849
2023,Lower-middle,Western Africa,2.55340433,13.789449689999998,11.236045359999999
2023,Upper-middle,Central Africa,5.86530781,9.591558459999998,3.726250649999998
2023,Upper-middle,Northern Africa,6.16833448,9.57147312,3.40313864
2023,Upper-middle,Southern Africa,8.24311256,16.88567543,8.642562869999999
