year,income,Subregion,avg_gov_share,avg_voluntary_prepaid_share,avg_oop_share,avg_other_private_share,avg_external_share
2005,Lower-middle,Eastern Africa,27.7879321575,1.6280245249999972,47.613256455,1.9494836573699068,21.021303177499973
2005,Lower-middle,Middle Africa,30.34807141666663,0.51318658,53.23751830999993,1.8991065422693836,14.002117156666634
2005,Lower-middle,Northern Africa,33.1002044675,5.098875507499997,58.37230872999997,1.6323602795600824,1.79625102
2005,Lower-middle,Southern Africa,40.52039241749995,4.686868406666666,29.015705587499973,7.60811789830525,21.24266230999995
2005,Lower-middle,Western Africa,34.865617207142826,3.03597557,49.57449422857142,1.1040177151560762,11.671262467142855
2005,Upper-middle,Eastern Africa,81.42430878,,17.86114693,,0.71454191
2005,Upper-middle,Middle Africa,32.15912818499995,3.8190836949999993,59.81312179499995,0.771500706672668,3.437165615
2005,Upper-middle,Northern Africa,66.97207642000001,1.3746568,31.72016524999995,1.16148483753204,0.03968749
2005,Upper-middle,Southern Africa,47.77221965749995,21.6538905175,18.79220008749997,1.127923667430874,10.653766064999974
2006,Low,Eastern Africa,20.19720288571424,1.93170278333333,40.206389838571376,2.9988815188407876,35.332285472857116
2006,Low,Middle Africa,24.458813665,1.637846175,57.603967664999956,1.318965733051298,14.98040676
2006,Low,Northern Africa,36.3806762699999,1.08288217,55.78925323,2.2074134349823,4.53977488999999
2006,Low,Southern Africa,24.083176615,2.1689183699999943,10.83552599,2.7789981415203817,60.1333808899999
2006,Low,Western Africa,17.76187288625,1.493879578571427,51.992972253749976,1.76888048648834,26.634871007499974
2006,Lower-middle,Eastern Africa,26.72560215,1.4032090824999994,43.903707025,1.8547000661492337,26.112782359999976
2006,Lower-middle,Middle Africa,19.18425130999996,0.5185832166666666,54.314806619999935,2.42725253105163,23.555106319999997
2006,Lower-middle,Northern Africa,35.45515870999995,1.9791703099999975,57.50013065249995,3.8954639285802735,1.1700764525
2006,Lower-middle,Southern Africa,44.551462172499924,4.76339578333333,24.69725870999995,7.689088185628253,21.411915779999976
2006,Lower-middle,Western Africa,33.22668075428568,3.0426150679999977,51.33173506714281,1.149088391661643,11.573483839999998
2006,Upper-middle,Eastern Africa,79.4893569899999,,19.8162956199999,,0.69434422
2006,Upper-middle,Middle Africa,35.55817795,3.73972486,56.185920715,0.756106972694397,3.7600694900000002
2006,Upper-middle,Northern Africa,66.910640715,1.24352002,31.874173164999952,1.12011611461639,0.033367775
2006,Upper-middle,Southern Africa,48.4314451225,21.28995150249995,19.346963047499997,1.023333162069318,9.908307162499975
2007,Low,Eastern Africa,23.21822690857143,1.8985713616666648,40.81498159571426,3.553684930006659,31.293429509999957
2007,Low,Middle Africa,25.489629745000002,1.9158240850000001,57.313045505,1.2485323846340144,14.032968284999944
2007,Low,Northern Africa,36.19216156,0.89890951,58.00177002,2.22516655921936,2.68199228999999
