year,income,Subregion,avg_mmr
2023,Low,Northern Africa,255.706196
2023,Low,Southern Africa,153.58404623
2023,Low,Western Africa,393.6614208
2023,Lower-middle,Eastern Africa,248.84804292500002
2023,Lower-middle,Central Africa,191.55937563333336
2023,Lower-middle,Northern Africa,125.87173637999999
2023,Lower-middle,Southern Africa,244.4435595
2023,Lower-middle,Western Africa,410.84738098857144
2023,Upper-middle,Eastern Africa,41.89188388
2023,Upper-middle,Central Africa,203.16167775
2023,Upper-middle,Northern Africa,60.99121759
2023,Upper-middle,Southern Africa,119.35561656499999
