year,income,Subregion,pct_tax_above_50th,pct_tax_above_75th,pct_health_gdp_above_50th,pct_health_gdp_above_75th
2020,Low,Eastern Africa,22.22222222222222,11.11111111111111,33.33333333333333,22.22222222222222
2020,Low,Middle Africa,0.0,0.0,50.0,50.0
2020,Low,Northern Africa,0.0,0.0,0.0,0.0
2020,Low,Southern Africa,100.0,50.0,100.0,100.0
2020,Low,Western Africa,50.0,0.0,75.0,25.0
2020,Lower-middle,Eastern Africa,25.0,0.0,25.0,0.0
2020,Lower-middle,Middle Africa,33.33333333333333,0.0,33.33333333333333,33.33333333333333
2020,Lower-middle,Northern Africa,75.0,50.0,50.0,25.0
2020,Lower-middle,Southern Africa,60.0,60.0,60.0,40.0
2020,Lower-middle,Western Africa,57.14285714285714,28.57142857142857,14.285714285714285,0.0
2020,Upper-middle,Eastern Africa,100.0,100.0,100.0,0.0
2020,Upper-middle,Middle Africa,50.0,0.0,0.0,0.0
2020,Upper-middle,Northern Africa,50.0,0.0,100.0,50.0
2020,Upper-middle,Southern Africa,100.0,100.0,100.0,50.0
2021,Low,Eastern Africa,33.33333333333333,11.11111111111111,44.44444444444444,11.11111111111111
2021,Low,Middle Africa,0.0,0.0,50.0,50.0
2021,Low,Northern Africa,0.0,0.0,0.0,0.0
2021,Low,Southern Africa,100.0,50.0,100.0,100.0
2021,Low,Western Africa,50.0,0.0,75.0,37.5
2021,Lower-middle,Eastern Africa,0.0,0.0,25.0,0.0
2021,Lower-middle,Middle Africa,33.33333333333333,0.0,33.33333333333333,33.33333333333333
2021,Lower-middle,Northern Africa,100.0,50.0,50.0,25.0
2021,Lower-middle,Southern Africa,60.0,60.0,60.0,60.0
2021,Lower-middle,Western Africa,71.42857142857143,28.57142857142857,14.285714285714285,0.0
2021,Upper-middle,Eastern Africa,100.0,100.0,100.0,0.0
2021,Upper-middle,Middle Africa,0.0,0.0,0.0,0.0
2021,Upper-middle,Northern Africa,0.0,0.0,50.0,0.0
2021,Upper-middle,Southern Africa,100.0,100.0,100.0,50.0
2022,Low,Eastern Africa,22.22222222222222,0.0,33.33333333333333,11.11111111111111
2022,Low,Middle Africa,0.0,0.0,50.0,50.0
2022,Low,Northern Africa,0.0,0.0,0.0,0.0
2022,Low,Southern Africa,100.0,50.0,100.0,100.0
2022,Low,Western Africa,50.0,12.5,62.5,37.5
2022,Lower-middle,Eastern Africa,50.0,0.0,25.0,25.0
2022,Lower-middle,Middle Africa,0.0,0.0,66.66666666666666,0.0
2022,Lower-middle,Northern Africa,100.0,50.0,100.0,25.0
2022,Lower-middle,Southern Africa,60.0,60.0,60.0,40.0
2022,Lower-middle,Western Africa,71.42857142857143,28.57142857142857,14.285714285714285,14.285714285714285
2022,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2022,Upper-middle,Middle Africa,0.0,0.0,0.0,0.0
2022,Upper-middle,Northern Africa,0.0,0.0,50.0,0.0
2022,Upper-middle,Southern Africa,100.0,100.0,100.0,50.0
2023,Low,Eastern Africa,33.33333333333333,0.0,33.33333333333333,22.22222222222222
2023,Low,Middle Africa,0.0,0.0,100.0,50.0
2023,Low,Northern Africa,0.0,0.0,0.0,0.0
2023,Low,Southern Africa,100.0,50.0,100.0,50.0
2023,Low,Western Africa,37.5,12.5,62.5,37.5
2023,Lower-middle,Eastern Africa,25.0,0.0,25.0,25.0
2023,Lower-middle,Middle Africa,33.33333333333333,0.0,66.66666666666666,0.0
2023,Lower-middle,Northern Africa,75.0,50.0,75.0,25.0
2023,Lower-middle,Southern Africa,60.0,60.0,60.0,40.0
2023,Lower-middle,Western Africa,71.42857142857143,28.57142857142857,14.285714285714285,0.0
2023,Upper-middle,Eastern Africa,100.0,100.0,0.0,0.0
2023,Upper-middle,Middle Africa,50.0,0.0,0.0,0.0
2023,Upper-middle,Northern Africa,0.0,0.0,50.0,50.0
2023,Upper-middle,Southern Africa,100.0,100.0,100.0,50.0
