year,income,Subregion,gini_public_health_exp
2020,Upper-middle,Middle Africa,0.1776905251265477
2020,Upper-middle,Northern Africa,0.24980450496597517
2020,Upper-middle,Southern Africa,0.05414135134027953
2021,Low,Eastern Africa,0.36984158706565995
2021,Low,Middle Africa,0.02176634498235397
2021,Low,Northern Africa,0.0
2021,Low,Southern Africa,0.0808637595297721
2021,Low,Western Africa,0.23039124673314704
2021,Lower-middle,Eastern Africa,0.30746300768824586
2021,Lower-middle,Middle Africa,0.3767760985853317
2021,Lower-middle,Northern Africa,0.30084377306839416
2021,Lower-middle,Southern Africa,0.3800421325273504
2021,Lower-middle,Western Africa,0.5874452256453553
2021,Upper-middle,Eastern Africa,0.0
2021,Upper-middle,Middle Africa,0.13017514118314488
2021,Upper-middle,Northern Africa,0.1486853384011977
2021,Upper-middle,Southern Africa,0.0638316592556476
2022,Low,Eastern Africa,0.3670442179715363
2022,Low,Middle Africa,0.05404904713788161
2022,Low,Northern Africa,0.0
2022,Low,Southern Africa,0.21408362956840343
2022,Low,Western Africa,0.21927835720037114
2022,Lower-middle,Eastern Africa,0.2848726546652971
2022,Lower-middle,Middle Africa,0.35252178649557675
2022,Lower-middle,Northern Africa,0.2754151029580325
2022,Lower-middle,Southern Africa,0.3220743998994817
2022,Lower-middle,Western Africa,0.5747527390002356
2022,Upper-middle,Eastern Africa,0.0
2022,Upper-middle,Middle Africa,0.20652248957226793
2022,Upper-middle,Northern Africa,0.1887670825130381
2022,Upper-middle,Southern Africa,0.08507814013263437
2023,Low,Eastern Africa,0.3744145829059029
2023,Low,Middle Africa,0.10781340079056334
2023,Low,Northern Africa,0.0
2023,Low,Southern Africa,0.2259488127414535
2023,Low,Western Africa,0.2397358666351892
2023,Lower-middle,Eastern Africa,0.26004971812008293
2023,Lower-middle,Middle Africa,0.3422079082471212
2023,Lower-middle,Northern Africa,0.3332465549285759
2023,Lower-middle,Southern Africa,0.35076265665444284
2023,Lower-middle,Western Africa,0.5546913292336857
2023,Upper-middle,Eastern Africa,0.0
2023,Upper-middle,Middle Africa,0.18797330229525278
2023,Upper-middle,Northern Africa,0.2527034973342983
2023,Upper-middle,Southern Africa,0.09722034373055988
